,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JIN-T0,,RYAN-T0,,JOKER-T0,,LINA-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,JIN-T0,,LING LING-T0,,BAI JIAO-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,KRIS,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Single-Target ATK DMG Boost (always active)
Increases Single-Target ATK DMG by 40%

[Enemies] Weakens monsters",,,,,,,"[Enemies] Grants DEF Boost (always active)
Increases DEF by 54%

[Enemies] Strengthen monsters",,,,,,,,"- Revives Self with 20 turns of Immortality and resets skill cooldown upon revival
- Grants PDMG Immunity when above 50% HP
- Grants MDMG Immunity when below 50% HP
- Able to Silence on skills
- Minions revive with 3 turn of Immortality"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Using a basic ATK has a 70% chance to decrease Buff Duration

[Enemies] Strengthen monsters",,,,,,,,
,,,,,,,,KRIS-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Crit DMG Boost (always active)
Increase Crit DMG by 67%

[Enemies] Weakens monsters",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Allies] Inflicts Death Immunity Ban (always active)

[Enemies] Strengthen monsters",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Make sure to have Elysia/Lucy's cleanse skill ready before Kris dies because he resets his skill cooldowns upon death. Use [Buff Removal] to remove [Immortality].

If [Buff Removal] is not available, consider letting some non-essential units die so that the turns go faster. Kris needs to expend 20 turns of [Immortality] but these only go down when Kris takes his turn to do his basic attack. With lesser units on the field, Kris takes his basic attack turn more often, consuming his [Immortality] faster.

i.e. A party of 5 VS Kris: 6 turns for Kris' immortality to go down 1 turn; compared to Single Unit VS Kris: 2 turns"
,,,,LEO-T0,,JIN-T0,,LINA-T0,,PASCAL-T0,,SHANE-T0,,,,,,LUCY-T0,,JIN-T0,,LINA-T0,,PASCAL-T0,,KYLE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LEO-T0,,JIN-T0,,LINA-T0,,PASCAL-T0,,KYLE-T0,,,,,,LINA-T0,,JIN-T0,,ELYSIA-T0,,PASCAL-T0,,KYLE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LUCY-T0,,JIN-T0,,LINA-T0,,PASCAL-T0,,KYLE-T0,,,,,,BISCUIT-T0,,JIN-T0,,ELYSIA-T0,,SUNWUKONG-T0,,KYLE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,LINA-T0,,DAISY-T0,,ELYSIA-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,SUNWUKONG-T0,,RUDY-T0,,VELIKA-T0,,DAISY-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RETIRED BOSSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,SNIPPER,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Link (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Inflicts Burn Immunity Ban (always active)

[Enemies] Strengthen enemies",,,,,,,,- Activates skill again if the skill kills any of your units
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] DMG Boost (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,SNIPPER-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants DMG Resistance (always active)

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Magic DMG Immunity (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sustain enough of Snipper's DMG and make sure to Taunt with Li or Link with Rudy before Snipper uses his ST nuke skill.

Gear your heroes with high Effect Resistance so that you can resist Burn and won't have to worry as much."
,,,,LI-T0,,BISCUIT-T0,,LINA-T0,,YUI-T0,,PASCAL-T0,,,,,,LI-T0,,BISCUIT-T0,,LINA-T0,,RACHEL-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LI-T0,,BISCUIT-T0,,LINA-T0,,YUI-T0,,PASCAL-T0,,,,,,RUDY-T0,,BISCUIT-T0,,LINA-T0,,RACHEL-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LI-T0,,BISCUIT-T0,,LINA-T0,,YUI-T0,,PASCAL-T0,,,,,,XIAO-T0,,BISCUIT-T0,,LINA-T0,,LU BU-T0,,BAI LONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,MERCURE,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Petrify Immunity (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants Effect Hit Rate Boost (always active)
Increases Effect Hit Rate by 37%

[Enemies] Strengthen enemies",,,,,,,,"- Decreases Effect Resistance
- Has DMG Cap of 10%
- Instead of Stun, has Petrify
- Generally higher rate of Magic Reflux application"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants DEF Boost (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,MERCURE-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Single-Target ATK DMG Boost (always active)
Increases Single-Target ATK DMG by 40%

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Effect Probability Boost (always active)
Increases Effect Probability by 44% 

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Depending on how strong your Pascal is, he should be able to hit DMG Cap without any issues. 

Use Lina's Heal and Evan's Shield to allow better survival through the Magic Reflux. Mercure's damage comes from his Magic Reflux. Just have enough healing to sustain. Velika helps to cycle Pascal's skills much faster to nuke Mercure asap.

When Mercure uses his Skill1 and forms a Barrier, use Daisy and/or Biscuit to remove it and then proceed with Pascal's skill."
,,,,BISCUIT-T0,,LUCY-T0,,LINA-T0,,EVAN-T0,,PASCAL-T0,,,,,,VELIKA-T0,,DAISY-T0,,LINA-T0,,EVAN-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DAISY-T0,,VELIKA-T0,,LINA-T0,,EVAN-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,DAISY-T0,,LINA-T0,,EVAN-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DAISY-T0,,VELIKA-T0,,LINA-T0,,EVAN-T0,,PASCAL-T0,,,,,,VELIKA-T0,,DAISY-T0,,LINA-T0,,XIAO QIAO-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,"KNOX, SARAH, CLOPS",,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Death Immunity (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants Single-Target ATK Resistance  (always active)
Decreases DMG from Single-Target ATK DMG by 90%

[Enemies] Strengthen enemies",,,,,,,,"- Deals additional DMG when Sarah minion is alive
- Heals self by 20% of MAXHP when Clops minion is alive
- Grants Barrier equal to 20% of MAXHP when HP falls to 50% or lower for 3 turns (once per battle)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Inflicts DEF Reduction (always active)
Decreases DEF by 29%

[Enemies] Strengthen enemies",,,,,,,,
,,,,ELYSIA-T0,,YUI-T0,,KNOX-T0,,KAGURA-T0,,KYLE-T0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Triple-Target ATK DMG Boost (always active)
Increases Triple-Target ATK DMG by 40%

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Physical DMG Immunity (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SARAH-T0,,SARAH-T0,,JURI-T0,,FAI-SE,,KYLE-T0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DPS options can revolve around Ruri, Yeonhee, Kyle

Immunity - Leo, Evan (Evan not needed if you can one-shot Clops)

Must kill Sarah and Clops before Knox uses Hell Strike. Hell Strike is buffed if any of Knox' minions are alive.

After using Hell Strike, Knox uses Taunt and his minions use 3-4 skills before Knox uses Hell Strike again. Kill minions before next Hell Strike.
"
,,,,LEO-T0,,LINA-T0,,BISCUIT-T0,,TEO-T0,,KYLE-T0,,,,,,EVAN-T0,,LINA-T0,,BISCUIT-T0,,YEONHEE-T0,,RURI-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LEO-T0,,LINA-T0,,BISCUIT-T0,,EVAN-T0,,KYLE-T0,,,,,,LEO-T0,,LINA-T0,,BISCUIT-T0,,VELIKA-T0,,YEONHEE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LEO-T0,,EVAN-T0,,BISCUIT-T0,,TEO-T0,,KYLE-T0,,,,,,XIAO QIAO-T0,,LINA-T0,,BISCUIT-T0,,VELIKA-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,"ARAGON, ROOK, CHANCELLOR",,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Weakness Hit Chance Boost (always active)
Increases Weakness Hit Chance by 54%

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants Single-Target Attack Resistance (always active)

[Enemies] Strengthen enemies",,,,,,,,"- Aragon inflicts passive Crit Rate Reduction (always active)
- Chancellor inflicts active Crit Rate Reduction (3 turns)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] DEF Boost (always active)
Increases DEF by 54%

[Enemies] Strengthens enemies",,,,,,,,
,,,,,,,,ARAGON-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Weakness Hit DMG Boost (always active)
Increases Weakness Hit DMG by 56%

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants PDMG Immunity (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ROOK-T0,,,,CHANCELLOR-T0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Use Miho's debuff removal after Chancellor's Crit Rate Debuff

Use Biscuit's buff removal after Rook's Barrier"
,,,,SIEG-T0,,RACHEL-T0,,LINA-T0,,BISCUIT-T0,,KYLE-T0,,,,,,MIHO-T0,,VELIKA-T0,,LINA-T0,,BISCUIT-T0,,YEONHEE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SIEG-T0,,RACHEL-T0,,LINA-T0,,BISCUIT-T0,,KYLE-T0,,,,,,YEONHEE-T0,,VELIKA-T0,,LINA-T0,,BISCUIT-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MIHO-T0,,VELIKA-T0,,LINA-T0,,BISCUIT-T0,,PASCAL-T0,,,,,,DAISY-T0,,VELIKA-T0,,LINA-T0,,BISCUIT-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,"PASCAL, TEO, YEONHEE, KYLE, KARMA",,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants DMG Boost (always active)
Increases DMG by 28%

[Enemies] Weakens enemies

",,,,,,,"[Enemies] Grants DEF Boost (always active)
Increases DEF by 54%

[Enemies] Strengthen enemies",,,,,,,,"Pascal's Reset revives 2 minions

Teo has Death; buffs Pascal with 100% Crit Rate
Yeon has Sleep; buffs Pascal with 100% Block Rate
Karma has DMGResistance; buffs Pascal with Life Drain
Kyle buffs Pascal with Ignore DEF"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] [Pascal] Changes number of targets for Skill 2
[Titan of Calamities] Changes number of targets to 5

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,PASCAL-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Enemies] Grants DMG Resistance (always active)
Decreases DMG taken by 28%

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Allies] Inflicts Incoming Healing Reduction (always active)
Decreases Incoming Healing by 60%

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TEO-T0,,YEONHEE-T0,,,,KARMA-T0,,KYLE-T0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Save nuke AOEs for when after Pascal revives minions

Save heals for after Pascal nukes your team. WK helps with healing as well

Cheese-able if you keep restarting the run until Pascal revives not-Yeonhee. Yeonhee buffs Pascal with 100% Block. Without block, your should be able to nuke Pascal alot faster
"
,,,,BISCUIT-T0,,LINA-T0,,VELIKA-T0,,MIHO-T0,,YEONHEE-T0,,,,,,BISCUIT-T0,,LINA-T0,,ELYSIA-T0,,HELLENIA-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,LINA-T0,,VELIKA-T0,,MIHO-T0,,SUNWUKONG-T0,,,,,,BISCUIT-T0,,LINA-T0,,ELYSIA-T0,,SUNWUKONG-T0,,KYLE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,LINA-T0,,ELYSIA-T0,,SUNWUKONG-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,LINA-T0,,VELIKA-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,COCO,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Shock Immunity (always active)

[Enemies] Weaken enemies",,,,,,,"[5★ Coco] Changes number of targets for Skill 2
Changes number of targets of [Lightning Shuriken] to 5

[Enemies] Strengthen enemies",,,,,,,,"- Grants Effect Hit Rate Boost to all allies
- Applies Camouflage on self while also reviving fallen allies. If not fallen, heals their HP
- While on Camouflage, deals DEF-ignoring DMG on ST skill
- Minions resist DMG from Single-Target attacks and have MATK Boost"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Ignore DEF (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Quintuple-Target Attack DMG Boost (always active)

[Enemies] Weaken enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants MDMG Immunity (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shock Immunity - Chloe

Boss Coco uses [Camouflage] and [Revives] minions. If minions are alive, Boss Coco's skill [Ignore DEF], dealing huge DMG. Make sure to always clear minions before Boss Coco uses skill

Some people use Espada to speed clear Boss Coco after Kyle clears the minions"
,,,,BISCUIT-T0,,RACHEL-T0,,LINA-T0,,TEO-T0,,KYLE-T0,,,,,,CHLOE-SE,,BISCUIT-T0,,LINA-T0,,SHANE-T0,,KYLE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHLOE-T0,,BISCUIT-T0,,LINA-T0,,SHANE-T0,,KYLE-T0,,,,,,CHLOE-SE,,BISCUIT-T0,,LINA-T0,,SHANE-T0,,KYLE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHLOE-T0,,BISCUIT-T0,,LINA-T0,,SHANE-T0,,KYLE-T0,,,,,,GUAN YU-T0,,BISCUIT-T0,,LINA-T0,,LU BU-T0,,BAI LONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURRENT FLOOR: -,,,NOHO,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Survives with 1 HP upon taking lethal damage for the first time

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants Debuff Immunity (always active)

[Enemies] Strengthen enemies",,,,,,,,"- Grants All DMG Nullification
- Inflicts Incoming Healing Reduction
- Deals Fixed DMG and inflicts Burn
- Inflicts HP Alteration and Fixed DMG"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Inflicts Outgoing Healing Reduction (always active)
Decreases Outgoing Healing by 36%

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,NOHO-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Life Drain (always active)
Recovers HP equal to 100% of DMG

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants MDMG Immunity (always active)

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
