,,,,,,,,,,,,,,,,,,,,,,
,,,,,YOO JINHO-T0,XIAO-T0,LING LING-T6,EVAN-T0,ASURA-T0,,,,,,,,,,,,,
,Follow-Up Attack,,,,,,,,,,,,,,,,,,,,,
,,,,,JURI-T0,BALLISTA-T0,,,,,,,,,,,,,,,,
,Counterattack,,,,,,,,,,,,,,,,,,,,,
,,,,,JAVE-T0,LI-T0,,,,,,,,,,,,,,,,
,Pierce,,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T0,RANDGRID-T0,SUNG JINWOO-T0,KYRIELLE-T0,BRANZE&BRANSEL-T0,VANESSA-T0,TEO-T0,KYLE-T0,KLAHAN-T0,,,,,ARAGON-T0,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,GELIDUS-T0,RADGRID-T0,PALLANUS-T0,JAVE-T0,EILEENE-T2,KARMA-T0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,ARAGON-T0,BIDAM-T0,BALLISTA-T0,LING LING-T0,SYLVIA-T0,REI-SE,,,,,,,,,,,,
,Ignore DEF,,,,,,,,,,,,,,,,,,,,,
,,,,,REGINLEIF-T0,NEZHA-T6,O'MOK-T6,SUNG JINWOO-T0,LU BU-T0,FREYJA-T0,YEONHEE-T0,SILVESTA-T2,KYLE-T6,RYAN-T6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,GELIDUS-T0,PALLANUS-T0,SUNWUKONG-T0,KARMA-T0,ACE-T0,BISCUIT-T0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,BAI LONG-T0,XIAO QIAO-T0,PASCAL-T0,RURI-T6,SIEG-T6,TAKA-T6,GUAN YU-T0,YURI-T0,FENG YAN-T6,SYLVIA-T2,,,,,,,,
,"Taunt
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,MELIA-T2,RYAN-T0,KNOX-T0,LI-T0,HELLENIA-T0,RAHKUN-T0,,,,,,,,,,,,
,Bleed Explosion,,,,,,,,,,,,,,,,,,,,,
,,,,,BIDAM-T0,,,,,,,,,,,,,,,,,
,Bomb Detonation,,,,,,,,,,,,,,,,,,,,,
,,,,,COLT-T0,,,,,,,,,,,,,,,,,
,Skill Conversion,,,,,,,,,,,,,,,,,,,,,
,,,,,SUNWUKONG-T0,JUPY-T0,,,,,,,,,,,,,,,,
,Focus Target,,,,,,,,,,,,,,,,,,,,,
,,,,,ASURA-T0,,,,,,,,,,,,,,,,,
,Souldeath,,,,,,,,,,,,,,,,,,,,,
,,,,,JURI-T0,,,,,,,,,,,,,,,,,
,Magic Reflux,,,,,,,,,,,,,,,,,,,,,
,,,,,MERCURE-T0,,,,,,,,,,,,,,,,,
,HP Alteration,,,,,,,,,,,,,,,,,,,,,
,,,,,O'MOK-T0,RANDGRID-T0,FREYJA-T0,PLATIN-T0,ROOK-T6,AMELIA-T6,LI-T0,NOHO-T0,,,,,,,,,,
,Execution,,,,,,,,,,,,,,,,,,,,,
,,,,,FAI-T0,BRANZE&BRANSEL-T0,,,,,,,,,,,,,,,,
,Hawk Talons,,,,,,,,,,,,,,,,,,,,,
,,,,,TAKA-T0,,,,,,,,,,,,,,,,,
,Eye of the Strong,,,,,,,,,,,,,,,,,,,,,
,,,,,KYLE-T0,,,,,,,,,,,,,,,,,
,Pain Endurance,,,,,,,,,,,,,,,,,,,,,
,,,,,TRUDE-T0,,,,,,,,,,,,,,,,,
,Divinity,,,,,,,,,,,,,,,,,,,,,
,,,,,FREYJA-T0,,,,,,,,,,,,,,,,,
,Clone,,,,,,,,,,,,,,,,,,,,,
,,,,,SUNWUKONG-T0,,,,,,,,,,,,,,,,,
,Physical Enhancement: Crystal Dragon,,,,,,,,,,,,,,,,,,,,,
,,,,,MELIA-T0,,,,,,,,,,,,,,,,,
,Magic Bond,,,,,,,,,,,,,,,,,,,,,
,,,,,MELIA-T0,,,,,,,,,,,,,,,,,
,Crystal Cluster,,,,,,,,,,,,,,,,,,,,,
,,,,,MELIA-T0,,,,,,,,,,,,,,,,,
,Crystal Resonance,,,,,,,,,,,,,,,,,,,,,
,,,,,MELIA-T0,,,,,,,,,,,,,,,,,
,Mark: Energia's Saturation,,,,,,,,,,,,,,,,,,,,,
,,,,,PALLANUS-T0,,,,,,,,,,,,,,,,,
,Protection,,,,,,,,,,,,,,,,,,,,,
,,,,,RADGRID-T0,,,,,,,,,,,,,,,,,
,Reckless Valor,,,,,,,,,,,,,,,,,,,,,
,,,,,LU BU-T0,,,,,,,,,,,,,,,,,
,Pinnacle of Martial Arts,,,,,,,,,,,,,,,,,,,,,
,,,,,BAI LONG-T0,,,,,,,,,,,,,,,,,
,Final Judgment,,,,,,,,,,,,,,,,,,,,,
,,,,,REGINLEIF-T0,,,,,,,,,,,,,,,,,
,Conqueror of Adversity,,,,,,,,,,,,,,,,,,,,,
,,,,,SUNG JINWOO-T0,,,,,,,,,,,,,,,,,
,Level Up,,,,,,,,,,,,,,,,,,,,,
,,,,,SUNG JINWOO-T0,,,,,,,,,,,,,,,,,
,7-Dish Meal Set,,,,,,,,,,,,,,,,,,,,,
,,,,,DEO-T0,,,,,,,,,,,,,,,,,
,Guardian Spirit,,,,,,,,,,,,,,,,,,,,,
,,,,,O'MOK-T0,,,,,,,,,,,,,,,,,
,Thunderbolt Mark,,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T0,,,,,,,,,,,,,,,,,
