    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2-3,,,SIEG-T6,,RYAN-T6,,RACHEL-T6,,TAKA-T6,,BISCUIT-T6,,,SIEG-T0,,RYAN-T6,,RACHEL-T6,,TAKA-T6,,BISCUIT-T6,,,EVAN-T6,,RACHEL-T0,,RYAN-T0,,LINA-T0,,BISCUIT-T0,
,,,,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,,GATEKEEP,,GATEKEEP,,AVENGER,,GUARDIAN,,GATEKEEP,
,,,,,,GUTS,,BOSSDMG+CWR,,GUTS,,BOSSDMG+CWR,,DOT,,,GUTS,,BOSSDMG+CWR,,GUTS,,BOSSDMG+CWR,,DOT,,,BLOCK,,BLOCK,,BOSSDMG+CWR,,BLOCK,,BLOCK,
,"Blind helps to survive Jave's [Counterattack] (100% Crit Rate, 500% Crit DMG). ",,NOTES:,,,"Make sure Sieg's ATK is not higher than Taka's or Ryan's.

Rachel must be T6 for this skill queue. If not T6, check the option beside.
At Turn 56, if HP is low, use Sieg's Top Skill to heal somewhat.",,,,,,,,,,,"Due to the randomness of Jave's counters, skill animations and timings may be off so you will have to judge accordingly as you play.",,,,,,,,,,,Some Testing required,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"BLIZZARD CASTLE
혹한의 성:
SPIKE",,,,,,,TOP SCORING,,,,,,,,,,,OPTION,,,,,,,,,,,NEWBIE,,,,,,,
,,,,,,FREEZE IMMUNITY,,3-TARGET DPS,,"DEF DOWN (A)
PHYS VUL (A)
+WEAKNESS (P)",,3-TARGET DPS,,DEF DOWN (P),,,FREEZE IMMUNITY,,"4-MAN DPS
BUFF REMOVE",,"DEF DOWN (A)
PHYS VUL (A)
+WEAKNESS (P)",,3-TARGET DPS,,DEF DOWN (P),,,FREEZE IMMUNITY,,"DEF DOWN (A)
PHYS VUL (A)
+WEAKNESS (P)",,"3-TARGET DPS
BURN IMMUNITY",,"+DMG
DEF DOWN (A)",,DEF DOWN (P),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SKILL QUEUE:,,,A,B,C,4,8,12,16,20,24,28,,A,B,C,4,8,12,16,20,24,28,,A,B,C,4,8,12,16,20,24,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,32,36,40,44,48,52,56,60,64,68,,32,36,40,44,48,52,56,60,64,68,,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SPEED
ORDER",,B,,C,,D,,E,,A,,,B,,C,,D,,E,,A,,,C,,D,,E,,A,,B,
,,,,,,29,,29,,29,,29,,31,,,29,,29,,29,,29,,31,,,29,,29,,29,,29,,31,
,,,,TOTAL:,,95,,97,,93,,99,,NOT IMPT,,,91,,100,,93,,99,,NOT IMPT,,,91,,93,,99,,NOT IMPT,,NOT IMPT,
,,,,BASE,,5,95,5,87,5,93,5,89,,,,5,91,5,63,5,93,5,89,,,,5,91,5,93,5,89,,,,
,,,,T4,,18,,18,,-,,-,,,,,14,,18,,-,,-,,,,,14,,-,,-,,,,,
,,,,GEARS,,72,,64,,88,,84,,,,,72,,40,,88,,84,,,,,72,,88,,84,,,,,
,"SPEED:
SPIKE - 25
ROOK - 19
CHANCELLOR - 25",,,ACC,,-,,10,,-,,10,,,,,-,,10,,-,,10,,,,,-,,-,,10,,,,,
,,,,EE,,-,,-,,-,,-,,,,,-,,-,,-,,-,,,,,-,,-,,-,,,,,
,,,,PASSIVE,,-,,-,,-,,-,,,,,-,,27,,-,,-,,,,,-,,-,,-,,,,,
,,,,ALLY,,-,,-,,-,,-,,,,,-,,-,,-,,-,,,,,-,,-,,-,,,,,
,,,,TOTAL:,,NOT IMPT,,101,,97,,101,,NOT IMPT,,,NOT IMPT,,101,,97,,101,,NOT IMPT,,,NOT IMPT,,87,,101,,NOT IMPT,,NOT IMPT,
,,,,T4,,,,-,20,20,60,20,20,,,,,,-,20,20,60,20,20,,,,,,-,50,-,20,,,,
,,,,GEARS,,,,20,,40,,-,,,,,,,20,,40,,-,,,,,,,50,,20,,,,,
,,,,ACC,,,,-,,10,,-,,,,,,,-,,10,,-,,,,,,,10,,-,,,,,
,,,,EE,,,,-,,-,,-,,,,,,,-,,-,,-,,,,,,,-,,-,,,,,
,,,,PASSIVE,,,,-,,27,,-,,,,,,,-,,27,,-,,,,,,,27,,-,,,,,
,https://youtu.be/H069whNx9-c,,,ALLY,,,,81,,-,,81,,,,,,,81,,-,,81,,,,,,,-,,81,,,,,
,,,2-3,,,FENG YAN-T6,,TAKA-T6,,RACHEL-T6,,RYAN-T6,,BISCUIT-T6,,,FENG YAN-T6,,KYLE-T6,,RACHEL-T6,,RYAN-T6,,BISCUIT-T6,,,FENG YAN-T6,,RACHEL-T0,,RYAN-T0,,LINA-T0,,BISCUIT-T0,
,,,,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,,GATEKEEP,,GATEKEEP,,AVENGER,,GUARDIAN,,GATEKEEP,
,,,,,,GUTS,,BOSSDMG+CWR,,GUTS,,BOSSDMG+CWR,,DOT,,,GUTS,,BOSSDMG+CWR,,GUTS,,BOSSDMG+CWR,,DOT,,,BLOCK,,BLOCK,,BOSSDMG+CWR,,BLOCK,,BLOCK,
,Buff Removal important to negate Minions' buff on Spike (100% Crit Rate and 500% Crit DMG) for 5 turns. Use Kyle's Buff Removal instead of Biscuit's to reduce number of skills used in skill queue,,NOTES:,,,,,,,,,,,,,,,,,,,,,,,,,Some Testing required,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HELL CASTLE
지옥의 성:
KRIS",,,,,,,TOP SCORING,,,,,,,,,,,OPTION,,,,,,,,,,,NEWBIE,,,,,,,
,,,,,,DEATH IMMUNITY,,+WEAKNESS DMG,,ST DPS,,ST DPS,,DEF DOWN (P),,,DEATH IMMUNITY,,"ST DPS
HEAL",,"DEF DOWN (A)
PHYS VUL (A)
+WEAKNESS (P)",,ST DPS,,DEF DOWN (P),,,DEATH IMMUNITY,,+WEAKNESS DMG,,ST DPS,,"+DMG
DEF DOWN (A)",,DEF DOWN (P),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SKILL QUEUE:,,,A,B,C,4,8,12,16,20,24,28,,A,B,C,4,8,12,16,20,24,28,,A,B,C,4,8,12,16,20,24,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,32,36,40,44,48,52,56,60,64,68,,32,36,40,44,48,52,56,60,64,68,,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SPEED
ORDER",,A,,C,,D,,E,,B,,,A,,C,,D,,E,,B,,,A,,C,,D,,B,,E,
,,,,,,37,,29,,29,,29,,31,,,37,,29,,29,,29,,31,,,37,,29,,29,,35,,23,
,,,,TOTAL:,,93,,99,,105,,99,,NOT IMPT,,,93,,99,,93,,100,,NOT IMPT,,,93,,93,,97,,NOT IMPT,,NOT IMPT,
,,,,BASE,,5,83,5,89,5,5,5,89,,,,5,83,5,89,5,93,5,59,,,,5,83,5,93,5,37,,,,
,,,,T4,,14,,-,,-,,-,,,,,14,,18,,-,,-,,,,,14,,-,,-,,,,,
,,,,GEARS,,64,,84,,-,,84,,,,,64,,66,,88,,54,,,,,64,,88,,32,,,,,
,"SPEED:
KRIS - 25
ROOK - 19
CHANCELLOR - 25",,,ACC,,10,,10,,-,,10,,,,,10,,10,,-,,-,,,,,10,,-,,10,,,,,
,,,,EE,,-,,-,,-,,-,,,,,-,,-,,-,,-,,,,,-,,-,,-,,,,,
,,,,PASSIVE,,-,,-,,100,,-,,,,,-,,-,,-,,41,,,,,-,,-,,50,,,,,
,,,,ALLY,,-,,-,,-,,-,,,,,-,,-,,-,,-,,,,,-,,-,,-,,,,,
,,,,TOTAL:,,90,,95,,99,,113,,100,,,100,,101,,97,,101,,100,,,100,,97,,99,,100,,100,
,,,,T4,,-,80,20,95,-,45,20,20,-,100,,-,63,-,20,20,60,20,20,-,73,,-,90,-,60,-,45,-,100,-,100
,,,,GEARS,,80,,75,,45,,-,,100,,,63,,20,,40,,-,,73,,,90,,60,,45,,100,,100,
,,,,ACC,,10,,-,,-,,-,,-,,,10,,-,,10,,-,,-,,,10,,10,,-,,-,,-,
,,,,EE,,-,,-,,-,,-,,-,,,-,,-,,-,,-,,-,,,-,,-,,-,,-,,-,
,,,,PASSIVE,,-,,-,,-,,39,,-,,,-,,-,,27,,-,,-,,,-,,27,,-,,-,,-,
,https://youtu.be/sCrlNcK8ea8,,,ALLY,,-,,-,,54,,54,,-,,,27,,81,,-,,81,,27,,,-,,-,,54,,-,,-,
,,,1-4,,,XIAO-T6,,MIHO-T6,,PASCAL-T6,,XIAO QIAO-T6,,BISCUIT-T6,,,XIAO-T6,,SIEG-T6,,RACHEL-T6,,SHANE-T6,,BISCUIT-T6,,,XIAO-T6,,MIHO-T0,,PASCAL-T0,,LINA-T0,,BISCUIT-T0,
,,,,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,,AVENGER,,ASSASSIN,,AVENGER,,PALADIN,,GATEKEEP,
,,,,,,DMGCOMBI,,BOSSDMG+CWR,,BOSSDMG+ST,,BOSSDMG+CWR,,DOT,,,DMGCOMBI,,BOSSDMG+CWR,,GUTS,,BOSSDMG+ST,,DOT,,,DMGCOMBI,,BOSSDMG+CWR,,BOSSDMG+CWR,,HP,,DOT,
,"When Rook & Chancellor take DMG, Kris' skill cooldown is reduced by 15s so it is advisable to apply Focus Target OR have HIGH Weakness Hit to ensure hits only land on Kris",,NOTES:,,,Aim for high Weakness Hit especially for the support heroes even if it means sacrificing Crit DMG because you do not want them to be hitting the minions.,,,,,,,,,,,,,,,,,,,,,,Some Testing required,,,,,,,,,
