,,,,,,,,,,,,,,,,,,,,,,,,,
,NO.,HERO,,,TYPE,,,,PASSIVE,,,,BASIC ATTACK,,,,SKILL1 (BTM SKILL),,,,SKILL2 (TOP SKILL),,,,AWK SKILL
,,,,,,,,Skill Enhancements,,"● Increases Turns: [All DMG Immunity] duration from 2 > 3 turns
● Increases Effect: [Effect Hit Rate Boost] from 28% > 34%",,,,"● Increases DMG: 100% > 120% of MATK
● Increases Effect: [Effect Resist Reduction] from 13% > 16%",,,,● Increases DMG: 80% > 92% of MATK,,,,"● Increases DMG: 115% > 135% of MATK
● Increases Chance: [Paralysis] chance increases from 45% > 55%",,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,Adds Effect to 3 ALLIES: 2 [Debuff Removal],,,,Increases Effect: [Incoming Healing Reduction] from 44% > 75%,,
,,,,,,,,,,-,,,,-,,,,-,,,,-,,,
,,,,,,,,Effect Descriptions,,Effect Hit Rate Boost: Increases Effect Hit Rate by 28%,,,,Effect Resist Reduction: Decrease Effect Resist by 13%,,,,,,,,"Paralysis: Unable to act for the duration of the effect, and Block Rate is set to 0%

Incoming Healing Reduction: Decreases Incoming Healing by 44%",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,BIDAM-T0,ATK,,,,,"SELF:
● Grants [PMDG Boost] for 3 turns upon attacking 3 time(s)
● Recovers HP equal to 50% of caster's ATK upon attacking 3 time(s)",,,,"2 ENEMIES:
● Deals DMG equal to 55% of PATK 2 time(s)
● 35% chance to inflict [Bleed] for 2 turns",,,,"3 ENEMIES:
● Deals [Piercing] DMG equal to 72% of PATK 2 time(s)
● Each attack has 55% chance to inflict [Bleed] for 3 turns",,,,"3 ENEMIES:
● Deals DMG equal to 175% of PATK
● [Bleed Explosion]: detonates [Bleed] stacks to deal 120% of their DMG (max 3 stacks)",,,
,,,,,,,,Skill Enhancements,,"● Increases Effect: [PDMG Boost] from 29% > 35%
● Increases Healing: Recovery amount from 50% > 55% of caster's PATK",,,,"● Increases DMG: 55% > 65% of PATK
● Increases Chance: [Bleed] chance increases from 35% > 40%",,,,"● Increases DMG: 72% > 85% of PATK
● Increases Chance: [Bleed] chance increases from 55% > 60%",,,,● Increases DMG: 175% > 205% of PATK,,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,"Reduces Cooldown: Skill cooldown reduction from 70s > 55s
Adds Effect: 100% chance to inflict [Bleed] for 3 turns on a target inflicted with [Bleed]",,,,Increases DMG: [Bleed Explosion] DMG increase from 120% > 150%,,
,,,,,,,,,,-,,,,-,,,,-,,,,-,,,
,,,,,,,,Effect Descriptions,,PDMG Boost: Increases PDMG dealt by 29%,,,,"Bleed: The target takes [Piercing] DMG equal to 60% of the caster's ATK every turn. DMG increases for every stack of [Bleed] on the target, up to 5 stacks.",,,,"Piercing: Ignores DMG immunity effects on the target

Bleed: The target takes [Piercing] DMG equal to 60% of the caster's ATK every turn. DMG increases for every stack of [Bleed] on the target, up to 5 stacks.",,,,Bleed Explosion: Detonates active [Bleed] stacks on the target to deal DMG. DMG increases with the number and remaining turns of [Bleed] stacks consumed.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,,BAI JIAO-T0,UNI,,,,,"SELF:
● Grants [All DMG Immunity] for 2 turns

ALL ALLIES:
● Heals HP equal to 32% of MATK upon performing any attack 2 times",,,,"1 ENEMY:
● Deals DMG equal to 100% of MATK
● 40% chance to inflict [Poison] for 2 turns",,,,"1 ENEMY:
● Deals DMG equal to 90% of MATK 3 times
● Each attack has a 60% chance to inflict [Poison] for 3 turns",,,,"1 ENEMY:
● Deals DMG equal to 80% of MATK 3 times
● Each attack has 60% chance to inflict [Bleed] for 3 turns

ALL ALLIES:
● Grants 1 [Debuff Removal] ",,,
,,,,,,,,Skill Enhancements,,● Increases Turns: [All DMG Immunity] duration from 2 > 3 turns,,,,● Adds Effect: 40% chance to inflict [Bleed] for 2 turns,,,,"● Increases DMG: 90% > 110% of MATK
● Adds Effect: 100% chance to inflict [Unable to Recover] for 4 turns",,,,● Increases DMG: 80% > 110% of MATK,,,
,,,,,,,,Transcendence Effects,,,Adds Effect to SELF: Grants [Effect Probability Boost] (always active),,,,,,,,Increases Chance: 60% > 70% chance to [Poison],,,,Increases Chance: 60% > 70% chance to [Bleed],,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,Effect Probability Boost: Increases Effect Probability by 22%,,,,"Poison: Deals 6% of target's MAX HP as DMG each turn (DMG cannot exceed 150% of the caster's ATK)

Bleed: The target takes [Piercing] DMG equal to 60% of the caster's ATK every turn. DMG increases for every stack of [Bleed] on the target, up to 5 stacks.	",,,,Poison: Deals 6% of target's MAX HP as DMG each turn (DMG cannot exceed 150% of the caster's ATK),,,,"Bleed: The target takes [Piercing] DMG equal to 60% of the caster's ATK every turn. DMG increases for every stack of [Bleed] on the target, up to 5 stacks.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,,XIAO QIAO-T0,MAGIC,,,,,"ALL ALLIES:
● Grants [Paralysis Immunity] for 2 turns
● Grants [Paralysis Immunity] for 2 turns upon using a basic attack
● Grants [Barrier] equal to 45% of caster's MATK for 2 turns upon activating a skill 1 time

SELF:
● Grants [MDMG Boost] (always active)
",,,,"1 ENEMY:
● Deals DMG equal to 100% of MATK",,,,"1 ENEMY:
● Deals [DEF-Ignoring] DMG equal to 270% of MATK
● Deals additional [DEF-Ignoring] DMG equal to 215% of MATK upon landing a weakness hit

ALL ALLIES: 
● Grants 2 [Debuff Removal]
",,,,"2 ALLIES (with Highest ATK):
● Grants [MATK Boost] for 3 turns

1 ENEMY:
● Deals [DEF-Ignoring] DMG equal to 340% of MATK
● 100% chance to inflict [Magic Vulnerability] for 5 turns
",,,
,,,,,,,,Skill Enhancements,,● Increases Effect: [MDMG Boost] from 24% > 29%,,,,● Increases DMG: 100% > 120% of MATK,,,,● Increases DMG: 270% > 330% of MATK,,,,● Increases Effect: [MATK Boost] from 25% > 31%,,,
,,,,,,,,Transcendence Effects,,,Adds Effect to SELF: Grants [Weakness Hit Chance Boost] (always active),,,,,,,,,,,,Adds Effect to 2 ALLIES (with Highest ATK): Grants [Crit DMG Boost] for 3 turns,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,"MDMG Boost: Increases Magic DMG dealt by 24%

Weakness Hit Chance Boost: Increases weakness hit chance by 39%",,,,,,,,,,,,"MATK Boost: Increases MATK by 25%

Crit DMG Boost: Increases Crit DMG by 46%",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,,PASCAL-T0,MAGIC,,,,,"SELF:
● Grants [MATK Boost] (always active)
● Grants [Crit DMG Boost] (always active)",,,,"1 ENEMY:
● Deals DMG equal to 100% of MATK",,,,"SELF:
● Resets the cooldown of Skill 2
● Grants [All DMG Nullification] for 1 hit",,,,"1 ENEMY:
● Deal [DEF-ignoring] DMG equal to 390% of MATK (additional 50% Crit Rate)",,,
,,,,,,,,Skill Enhancements,,● Increases Effect: [MATK Boost] from 27% > 33%,,,,● Increases DMG: 100% > 120% of MATK,,,,● Increases Stacks: [All DMG Nullification] stacks from 1 > 2,,,,● Increases DMG: 390% > 470% of MATK,,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,Reduces Cooldown: Skill cooldown reduction from 60s > 40s,,,,Increases Effect: Additional 50% > 100% Crit Rate,,
,,,,,,,,,,-,,,,-,,,,-,,,,-,,,
,,,,,,,,Effect Descriptions,,"MATK Boost: Increases MATK by 27%

Crit DMG Boost: Increases Crit DMG by 40%",,,,,,,,,,,,Ignore DEF: Ignores 65% of the target's DEF,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,,KNOX-T0,DEF,,,,,"ALL ALLIES:
● Grants [Death Effect Probability Boost] (always active)

SELF:
● Grants [Barrier] equal to 39% of caster's MAX HP for 3 turns",,,,"1 ENEMY:
● Deals DMG equal to 50% of PATK and 12% of caster's MAX HP",,,,"SELF: 
● Grants [All DMG Immunity] for 2 turns
● Grants [Taunt] for 2 turns

3 ALLIES:
● Grants [Continuous Healing] for 2 turns
",,,,"3 ENEMIES:
● Deals DMG equal to 80% of PATK and 19% of caster's MAX HP
● 100% chance to inflict [Effect Resist Reduction] for 3 turns
● 35% chance to inflict [Death] for 3 turns",,,
,,,,,,,,Skill Enhancements,,● Increases Effect: [Barrier] equal to 39% > 45% of caster's MAX HP,,,,● Increases DMG: 50% > 60% of PATK and 12% > 14% of caster's MAX HP,,,,● Increases Healing: [Continuous Healing] amount from 15% > 20%,,,,● Increases Chance: [Death] chance increasess from 35% > 40%,,,
,,,,,,,,Transcendence Effects,,,Adds Effect to ALL ENEMIES: [Effect Resist Reduction] (always active),,,,,,,,,,,,,,
,,,,,,,,,,,"Adds Effect to SELF: When HP falls below 50%, grants [Barrier] equal to 39% of caster's MAX HP for 3 turn (once per battle)",,,-,,,,-,,,,-,,,
,,,,,,,,Effect Descriptions,,"Effect Resist Reduction: Decreases Effect Resist by 34%

Death Effect Probability Boost: Increases Death Effect Probability by 25%",,,,,,,,"Continuous Healing: Heals HP equal to 15% of caster's MAX HP every turn

Taunt: Taunts enemies, becoming the target of most of their attacks. Only 1 hero on the team may have Taunt or Focus Target effect active at any given time         ",,,,"Effect Resist Reduction: Decreases Effect Resist by 37%

Death: The target takes DMG equal to 20% of current HP every turn, instantly dying on the last turn. Target dies instantly upon reaching 2 stacks of [Death]",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,25,,,DIAOCHAN-T0,SUPPORT,,,,,"SELF:
● Grants [MAX HP-based Effect Hit Rate Boost] (always active)
● Grants [Barrier] equal to 39% caster's MAX HP for 3 turns

2 ALLIES (excluding Self):
-If target type is ATK or MAGIC
● Grants [Barrier] equal to 20% of the caster's MAX HP for 2 turns when performing a basic attack
● Grants [CC Immunity] for 2 turns upon performing a bsic attack",,,,"1 ENEMY:
● Deals DMG equal to 100% of MATK

ALLY with LOWEST Current HP (excluding SELF):
● Heals HP equal to 6% of caster's MAX HP",,,,"3 ALLIES:
● Heals HP equal to 25% of caster's MAX HP",,,,"2 ALLIES (Excluding SELF):
● Grants [Crit DMG Boost] for 4 turns

3 ENEMIES:
● 100% chance to inflict [Buff Duration Reduction] by 2 turns
● 85% chance to inflict [Sleep] for 2 turns",,,
,,,,,,,,Skill Enhancements,,"● Increases Effect to SELF: [Barrier] from 39% > 45% of MAX HP
● Increases Effect to 2 ALLIES (ATTACK-TYPE/MAGIC-TYPE): [Barrier] from 20% > 22% of MAX HP",,,,● Increases Healing: Recovery amount from 6% > 7% of caster's MAX HP,,,,● Increases Healing: HP recovery increased from 25% > 29%,,,,"● Increases Chance: [Sleep] chance increases from 85% > 100%
● Adds Effect to 2 ALLIES (excluding SELF): Grants [All ATK Boost] for 4 turns",,,
,,,,,,,,Transcendence Effects,,,,,,,,,,,Adds Effect to 2 ALLIES (excluding SELF): Resets skill cooldown if target type is ATK or MAGIC,,,,Adds Effect to 3 ENEMIES: 100% chance to inflict [Incoming Healing Reduction] for 3 turns,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,MAX HP-based Effect Hit Rate Boost: Increases Effect Hit Rate by 5% for every 1000 MAX HP (Maximum: 45%),,,,,,,,,,,,"Crit DMG Boost: Increases Critical DMG by 43%

Sleep: Unable to act while asleep and will always receive critical DMG when hit. Sleep is immediately removed if DMG exceeding 7% of MAX HP is taken, regardless of the remaining duration

All ATK Boost: Increases ATK by 30%",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,,GUAN YU-T0,UNI,,,,,"ALL ALLIES:
● Grants [Shock Immunity] for 2 turns
● Grants [Shock Immunity] for 2 turns upon using a basic attack

BACK-ROW ALLIES:
● Grants [PDMG Boost] for 2 turns
● Grants [PDMG Boost] for 2 turns upon using any attack 2 times",,,,"1 ENEMY:
● Deals DMG equal to 100% of PATK",,,,"1 ENEMY:
● 100% chance to inflict 3 [Buff Removal]
● Deals DEF-Ignoring DMG equal to 390% of PATK
",,,,"ALL ALLIES:
● Grants 2 [Debuff Removal]
● Grants [Continous Healing] for 2 turns for each debuff removed
● Can be used only if the ally has a removable debuff",,,
,,,,,,,,Skill Enhancements,,● Increases Turns: [PDMG Boost] from 2 > 3 turns,,,,● Adds Effect: 30% chance to inflict [Unable to Recover] for 2 turns,,,,● Increases DMG: 390% > 480% of PATK,,,,● Adds Effect: Grants [All DMG Immunity] for 1 turn,,,
,,,,,,,,Transcendence Effects,,,"Adds Effect to BACK-ROW ALLIES: 
● Grants [Crit DMG Boost] for 3 turns
● 40% chance to grant [Crit DMG Boost] for 3 turns upon using any attack 2 times",,,,,,,,Adds Effect: Grants additional 100% Crit Rate,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,"PDMG Boost: Increases Physical DMG dealt by 20%

Crit DMG Boost: Increases Crit DMG by 40%",,,,,,,,,,,,Continuous Healing: Heals HP equal to 15% of the caster's MAX HP every turn,,,
